국가별,2012
중국,11895765.0
미국,6670533.5
러시아,2100946.5
일본,1393594.2
브라질,985944.6
독일,913347.7
인도네시아,757250.0
멕시코,722401.9
캐나다,716370.5
대한민국,688043.7
영국,586328.5
오스트레일리아,552305.6
사우디아라비아,548262.6
이탈리아,491949.9
프랑스,488200.3
튀르키예,448184.5
우크라이나,417831.8
폴란드,397900.7
스페인,347509.3
카자흐스탄,311685.6
아르헨티나,310670.2
네덜란드,195581.8
콜롬비아,157725.9
체코,134610.2
루마니아,130693.3
벨기에,120443.6
그리스,112924.0
칠레,101067.2
벨라루스,92432.6
페루,84585.3
이스라엘,83375.0
오스트리아,79788.3
뉴질랜드,79086.9
포르투갈,66076.8
핀란드,62255.5
헝가리,61557.1
아일랜드,59939.5
불가리아,59675.7
스웨덴,57108.6
덴마크,56058.8
노르웨이,53380.7
스위스,52516.3
슬로바키아,42451.4
크로아티아,26113.1
리투아니아,21086.0
에스토니아,19962.9
슬로베니아,19083.1
코스타리카,13405.6
룩셈부르크,11804.2
라트비아,10884.3
키프로스,8624.7
아이슬란드,4686.9
몰타,3126.3
리히텐슈타인,225.2
모나코,89.1
인도,0.0
이란,0.0
남아프리카공화국,0.0
