,Year,Temp,CO2,SeaLevel
62,1942,0.07,1355.5622793141802,-101.4473958
63,1943,0.09,1352.4977668758588,-104.0140625
64,1944,0.21,1374.827143870305,-116.9473958
65,1945,0.09,1395.6280080497313,-104.4473958
66,1946,-0.07,1160.80115582934,-92.68072917
67,1947,-0.03,1266.9658035877248,-97.44739583
68,1948,-0.1,1403.17525105383,-91.8140625
69,1949,-0.11,1479.2880986317875,-95.4140625
70,1950,-0.17,1412.8888598423546,-91.44739583
71,1951,-0.07,1651.9508071490577,-82.3140625
72,1952,0.01,1781.954620715483,-84.48072917
73,1953,0.08,1806.287807596295,-75.34739583
74,1954,-0.13,1857.6717284830363,-86.7140625
75,1955,-0.14,1895.8702608949573,-87.44739583
76,1956,-0.19,2080.78157696672,-86.58072917
77,1957,0.05,2216.2014318525707,-69.54739583
78,1958,0.06,2293.25207527608,-72.9140625
79,1959,0.03,2352.3211311530345,-70.2140625
80,1960,-0.03,2472.6372966770587,-66.88072917
81,1961,0.06,2619.27233719072,-60.74739583
82,1962,0.03,2633.292196024825,-68.04739583
83,1963,0.05,2726.304967478201,-69.9140625
84,1964,-0.2,2871.174943958354,-70.98072917
85,1965,-0.11,3029.9162783934403,-66.3140625
86,1966,-0.06,3165.515585236791,-70.48072917
87,1967,-0.02,3322.954915809282,-66.44739583
88,1968,-0.08,3431.604767159298,-72.8140625
89,1969,0.05,3619.4360333212862,-62.6140625
90,1970,0.03,3857.406216209648,-64.74739583
91,1971,-0.08,4173.216137413981,-60.48072917
92,1972,0.01,4344.82419405013,-43.7140625
93,1973,0.16,4548.932368441043,-56.74739583
94,1974,-0.07,4792.091743598815,-43.18072917
95,1975,-0.01,4761.434222872602,-45.84739583
96,1976,-0.1,4762.630298498684,-44.74739583
97,1977,0.18,5014.727645176708,-48.5140625
98,1978,0.07,5156.625387254012,-41.8140625
99,1979,0.16,5313.460758595212,-46.8140625
100,1980,0.26,5460.649582573171,-41.88072917
101,1981,0.32,5425.900213557668,-25.98072917
102,1982,0.14,5289.91049328404,-37.88072917
103,1983,0.31,5238.340381536529,-22.28072917
104,1984,0.16,5266.288779776332,-21.7140625
105,1985,0.12,5444.552300781093,-36.98072917
106,1986,0.18,5626.878006757709,-35.18072917
107,1987,0.32,5715.3736363563885,-33.24739583
108,1988,0.39,5922.055006725752,-28.84739583
109,1989,0.27,6149.898892200628,-25.14739583
110,1990,0.45,6238.2457148623325,-22.84739583
111,1991,0.41,6298.724909676322,-22.8140625
112,1992,0.22,6429.467762583945,-20.24739583
113,1993,0.23,6251.522226970058,-22.78072917
114,1994,0.31,6315.586130497937,-17.98072917
115,1995,0.45,6387.464251916847,-15.58072917
116,1996,0.33,6528.185240216519,-11.94739583
117,1997,0.47,6740.664272535239,-2.647395833
118,1998,0.61,6789.4278776598685,-10.8140625
119,1999,0.38,6784.267088372644,-0.247395833
120,2000,0.39,6929.142305337154,2.952604167
121,2001,0.53,7115.052187104313,4.719270833
122,2002,0.63,7161.751042429365,2.152604167
123,2003,0.62,7322.706118309293,14.61927083
124,2004,0.53,7712.480014521092,13.65260417
125,2005,0.68,7994.544949272277,12.11927083
126,2006,0.64,8266.745097966876,9.519270833
127,2007,0.66,8554.761117163805,22.7859375
128,2008,0.54,8812.546483786507,30.45260417
129,2009,0.66,8963.168297521188,33.65260417
130,2010,0.73,8805.73748530964,33.87824005
131,2011,0.61,9317.661800509704,36.71847075
132,2012,0.65,9626.002673792487,47.17390325
133,2013,0.68,9758.570064279427,41.33798668
134,2014,0.75,9839.139129543815,53.85737212
135,2015,0.9,9902.080231632355,50.46170567
136,2016,1.02,9912.569025632689,54.34696367
137,2017,0.93,9916.267458895967,57.35599133
138,2018,0.85,10084.274528931694,53.08512198
139,2019,0.98,10296.184822808498,61.39371322
140,2020,1.02,10370.928907107109,66.70432506
141,2021,0.85,9729.682946420902,63.29
142,2022,0.9,10225.016675989378,69.66
143,2023,1.17,10354.961763252835,73.06
