"국가",1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국",258113.19,24351.02,21238.36,11650.04,-,278995.63,29955.36,21640.67,12762.48,-,308499.81,34422.52,22108.38,13515.25,-,327799.68,38742.54,22554.07,14472.33,-,352000.68,43147.15,22820.65,15819.44,-,385582.11,44771.01,23333.73,16593.45,-,411617.53,49643.92,23341.75,17309.05,-,351493.31,40765.69,23066.85,16108.6,-,382112.78,48423.79,21941.91,16936.34,-,411584.71,50869.86,21368.79,18907.09,-
"방글라데시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15210,1281.48,28122.39,1312.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"중국",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3007780,282631,605086,162120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"키프로스",4486.96,687.86,460.82,440.71,-,4811.43,762.12,491.05,449.08,-,4988.1,833.5,519.19,459.8,-,5200.67,870.23,513.73,472.74,-,5107.25,839.73,543.81,481.39,-,5402.12,904.15,551.12,487.64,-,5525,876.09,540.87,497.08,-,5866.52,840.75,543.11,504.51,-,6130.96,853.74,534.53,513.07,-,6357.63,883.08,542.49,523.24,-
"인도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,743820,102710,344485,23233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1027016.49,88596.13,355601.65,52552.29,-
"인도네시아",186373.05,14702.13,83585.46,7949.76,-,198279.83,15589.82,84851.89,8107.05,-,208146.43,17388.26,84852.37,8270.43,-,222099.84,19143.81,84507.24,8440.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280936.22,42668.96,73399.98,157328.32,-
"이란",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321355.86,25474.23,30303.9,8299.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,377804.22,31262.87,42993.11,31608.97,-
