"국가",2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"캐나다",588018.26,54075.15,49128.85,20090.56,-,586546.24,58384.64,51075.9,20363.72,-,593018.02,56159.21,52713.18,21205.9,-,594065.85,53866.35,51251.6,21011.66,-,596085.21,53427.35,52277.46,21128.25,-,576633.11,54231.49,52947.55,21115.72,-,586428.15,52444,52087.67,21273.97,-,595936.32,53868.76,53488.29,21322.41,-,596061.47,52882.46,53617.56,21117.8,-,531887.29,50360.25,55491.18,21049.67,-,543183.91,51943.38,54243.76,21057.25,-
"멕시코",495065.145,62059.844,134991.937,45760.024,-,487068.36,62459.793,126306.54,46567.208,-,487619.456,65101.665,134986.985,47745.084,-,486562.551,68774.213,130253.777,49407.654,-,494298.96,66910.446,134064.785,50504.641,-,535568.912,67972.887,130678.379,51320.212,-,499325.538,70978.706,134900.553,51901.558,-,497499.54,74768.85,140362.583,52969.822,-,467892.374,73672.414,140807.236,54257.549,-,-,-,-,-,-,-,-,-,-,-
"미국",5783730.9,366975.72,582369.36,174127.25,-,5564123.41,357244.47,572600.86,176564.79,-,5714074.35,357212.67,597546.16,172827.92,-,5754116.66,368665.97,603008.19,172734.78,-,5596807.36,363910.56,604944.41,171696.3,-,5450777.08,357575.72,601754.03,168325.54,-,5418740.17,359082.41,613096.61,170905.25,-,5589457.28,362175.24,629494.02,173705.11,-,5460638.45,366822.71,614462.11,175993.61,-,4893979.96,363206.02,597264.51,171523.12,-,5196583.32,376382.97,598099.06,169162.94,-
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아르헨티나",187167.36,17826.81,97626.83,13279.68,-,187596.97,16838.86,98971.4,13735.41,-,190416.34,18656.59,101312.75,14205.75,-,187138.58,19935.75,102523.5,14711.72,-,192860.62,20581.53,100153.57,15260.04,-,193395.83,18989.56,102850.65,15678.56,-,187699.22,20382.83,107728.84,16065.02,-,185492.9,20769.44,106353.38,16431.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"브라질",384587.1,94865.59,419107.3,55603.3,-,418455.1,95929.01,414986.7,56573.8,-,452368.3,96775.97,420968.6,60872.8,-,478164.9,97327.14,425702.4,61702.6,-,454055.9,96171.89,429510.1,61939.1,-,422498.4,90106.78,439212.8,62884.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"칠레",74228.21,4134.98,12493.916,4758.628,-,78784.386,4895.049,12589.499,4798.31,-,77090.559,5054.233,12695.032,5598.367,-,73872.862,5036.661,12309.86,5577.212,-,79395.581,5264.286,12104.868,6274.289,-,83101.497,5741.422,11969.404,6733.15,-,83547.339,5904.597,11732.033,6840.636,-,84202.925,6221.187,11651.845,7384.849,-,84860.689,7382.817,11333.745,7449.344,-,79724.326,6930.218,11237.74,7659.631,-,-,-,-,-,-
"콜롬비아",79751.89,8145.52,49513.91,16687.29,-,83709.76,9032.47,48464.81,16518.81,-,88317.74,9205.94,48512.48,16619.58,-,90827.93,9565.36,48175.41,17270.59,-,93466.22,9563.27,49549.39,18058.18,-,95654.07,10114.97,50697.81,19162.02,-,88715.46,10170.89,51656.17,20492.98,-,92939.78,10494.71,56818.79,20473.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"코스타리카",7326.271,920.102,3083.602,1954.897,-,7307.948,996.557,3098.964,2002.09,-,7631.42,1103.412,2976.331,2024.579,-,7662.029,1282.345,2842.905,2062.858,-,7327.527,1317.978,2866.599,2091.536,-,7874.252,1324.086,2916.429,2119.693,-,7981.592,1394.707,2962.761,2138.536,-,8242.504,-,-,-,-,8152.801,-,-,-,-,7083.003,-,-,-,-,-,-,-,-,-
"페루",51210,4825,27988,8489,-,52128,5163,28143,8691,-,54318,5722,28016,8936,-,56509,6249,27888,9343,-,58126,6376,27894,9570,-,59744,6564,27901,9701,-,60138,6831,27861,10017,-,60532,7137,27821,10359,-,63238,7475,28478,10418,-,-,-,-,-,-,-,-,-,-,-
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트리아",56970.77,16126.05,7265.47,2143.47,-,54829.57,15729.52,7212.42,2016.82,-,55005.15,16138.65,7211.17,1873.54,-,51280.48,16288.52,7346.22,1747.44,-,53063.77,16799.96,7376,1644.74,-,54288.9,16497.59,7488.82,1545.96,-,56000.91,17230.52,7444.13,1456.93,-,54555.09,15595.92,7330.2,1373.16,-,54937.47,16520.04,7221.21,1315.42,-,49930.23,15523.86,7197.46,1259.29,-,52141.96,16958.65,7221.16,1210.58,-
"벨라루스",58837.98,5856.31,21402.79,5217.39,-,59773.18,5945.2,21433.87,5280.36,-,61585.42,6136.94,21168.25,5565.81,-,60594.58,6475.94,20654.61,5646.32,-,56237.56,6035.85,20473.15,5560.91,-,55883.62,5652.53,20550.69,5476.46,-,57084.66,5638.71,20941.18,5583.04,-,60054.05,5688.61,20625.07,5834.67,-,59653.03,6190.85,20550.41,5897.35,-,56696.37,6274.46,21139.73,5829.72,-,58521.59,6311.85,21178.89,5975.87,-
"벨기에",89996.69,21128.44,9643.02,2424.83,-,89135.27,19393.17,9579.49,2335.67,-,88917.56,20074.99,9579.71,1951.45,-,83012.23,20393.31,9708.2,1765.11,-,87113.45,20459.26,9715.18,1702.48,-,85230.15,20994.47,9601.71,1593.24,-,84733.8,20933.56,9653.14,1588.73,-,85322.62,21242.32,9533.09,1486.9,-,85542.91,19935.57,9559.92,1425.31,-,78056.08,18380.18,9516.1,1320.29,-,82104.17,18182.55,9414.19,1250.83,-
"불가리아",51474.23,4637.71,4881.61,3734.94,0,46654.14,4370.29,4985,3666.28,0,40854.56,4425.33,5432.2,3741.6,0,43244.03,4808.59,5852.05,3624.35,0,45829.61,5148.63,5890.94,3552.21,0,42745.06,5341.63,6198.09,3488.79,0,45078.84,5219.43,6165.52,3252.05,0,41316.77,4908.82,6024.91,3111.34,0,40337.1,4603.42,6004.04,2997.55,-,34678.69,4316.1,5978.19,3011.64,-,40444.13,4533.86,6106.34,2832.94,-
"크로아티아",19506.45,3286.06,3176.97,1899.2,0,18085.82,3071.57,3061.41,1894.29,0,17336.01,2875,2800.88,1878.21,0,16387.51,3107.88,2736.18,1925.61,0,16640.71,3205.31,2787.2,1977.83,0,17046.54,3029.1,2745.03,2013.28,0,17426.65,3406.58,2843.99,2032.08,0,16480.21,3383.93,2730.74,2006.12,0,16535.95,3556.57,2721.24,1985.63,0,15554.96,3646.34,2700.72,2004.81,-,16272.3,3595.93,2700.94,1877.24,-
"체코",110728.26,15217.04,7650.75,4971.95,-,106916.41,14975.35,7572.9,5145.52,-,101483.57,14852,7484.56,5431.57,-,98467.15,15627.44,7559.94,5425.52,-,99474.44,15355.43,8164.5,5512.08,-,100718.69,15437.81,8405.22,5545.24,-,101495.95,15685,8191.44,5579.54,-,99321.78,16237.99,7989.79,5630.5,-,94310.67,15537.88,7933.44,5669.27,-,84914.69,14763.8,7717.83,5675.72,-,88662.03,16173.01,7844.54,5702.11,-
"덴마크",45337.8,2052.3,12174.11,1088.41,-,40744.65,2095.02,12160.03,1059.11,-,42501.14,2068.18,12154.95,1055.12,-,38210.31,2033.95,12290.96,1073.67,-,35759.13,1873.78,12126.96,1074.74,-,37375.84,2090.18,12332.71,1107.42,-,35178.99,2085.92,12378.69,1130.32,-,35236.42,2098.85,12242.53,1148.22,-,31698.47,1902.23,12175.71,1165.27,-,28803.63,1983.78,12485.85,1210.54,-,30149.36,1934.13,12171.55,1260.54,-
"에스토니아",18604.53,657.37,1328.09,489.72,-,17182.43,902.73,1409.72,468.05,-,18988.85,993,1451.6,431.63,-,18443.48,705.05,1498.19,394.04,-,15635.7,509.42,1459.91,367.56,-,17326.05,493.71,1426.11,357.26,-,18437.69,633.86,1478.63,345.93,-,17594.7,621.29,1480.33,333.79,-,12035.79,614,1559.55,328.51,-,9233.15,289.29,1569.74,314.91,-,10418.13,295.94,1583.94,317.16,-
"핀란드",52754.92,6045.9,6275.26,2739.49,-,47470.18,5870.83,6238.74,2675.78,-,48081.48,5731.99,6350.39,2537.08,-,44234.19,5489.85,6409.25,2386.39,-,40678.38,5627.62,6392.5,2310.73,-,43394.85,5839.47,6438.98,2159.9,-,40969.16,5664.26,6346.67,2050.78,-,41981.89,5662.68,6296.93,2008.15,-,38971.49,5330.91,6445.87,1977.81,-,34396.6,5030.2,6414.59,1914.89,-,34331.49,5346.86,6303.11,1818.03,-
