"국가별",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"오스트레일리아",-,-,438056.8,438049.3,441752.2,442282.5,442610.6,451076.5,457575.0,469835.7,484037.1,489971.2,501589.0,509456.1,513171.0,511714.2,528827.4,535589.8,540017.8,546739.5,549128.8,552127.4,547172.8,549007.4,552305.6,543798.7,535451.4,544231.8,552354.8,559581.1,560827.4,555244.9,536739.7,528631.7
"영국",-,-,806301.8,815170.0,794899.5,775932.8,763724.1,757644.2,778384.7,754225.9,752806.8,723801.6,723919.6,727063.5,705879.6,711313.3,707931.0,699595.4,692195.5,680031.4,658727.3,601900.3,615724.6,570233.5,586328.5,572040.7,531430.2,513880.2,488309.3,476874.2,467870.0,453233.7,408965.1,429489.5
"프랑스",-,-,540830.7,566897.4,557279.9,536244.5,528083.8,534172.2,552521.6,544943.6,559284.3,554358.8,548714.5,554283.3,548271.5,552609.5,552209.1,553899.5,543309.9,533554.4,528088.2,506882.1,511152.9,486264.3,488200.3,487905.8,456751.0,460283.7,462641.6,465262.2,447070.0,437646.6,398297.0,420060.8
"이탈리아",-,-,521480.3,522696.7,521991.4,515160.0,509371.4,535653.7,530375.9,538111.4,550586.0,556140.4,559978.1,561840.0,567753.1,587247.9,592903.4,594197.4,584053.1,578814.5,566243.0,511655.0,523465.7,510854.6,491949.9,456475.7,435399.3,445735.7,442962.3,437341.0,433630.9,422276.2,384969.9,417591.4
"폴란드",579868.8,559046.7,474554.3,463180.0,450856.6,450937.3,444827.5,446731.9,460383.5,450012.3,419389.8,407531.8,393992.7,392523.0,382301.8,395538.6,400799.4,400708.7,415341.3,414652.8,407857.2,389826.8,407237.0,405798.8,397900.7,393881.5,381064.7,383395.3,394315.3,409003.2,409004.0,386386.4,371312.4,399438.5
"카자흐스탄",-,-,386682.8,374536.0,351663.7,318608.9,273342.8,260567.7,247873.0,244367.6,252975.0,224661.2,260434.1,247386.5,263995.4,278029.5,282922.8,287466.4,301694.8,303873.7,300707.9,294889.3,315855.5,306112.3,311685.6,320869.5,342321.1,346827.1,346787.3,366656.8,383836.6,352690.7,333971.0,338123.4
"우크라이나",-,-,942800.5,856425.6,801274.6,711081.2,604913.2,562107.6,515421.5,499632.7,480913.0,449769.1,427917.2,445990.7,431034.5,440311.8,443118.4,442402.0,460035.6,463415.4,451145.5,390533.1,407345.8,428749.0,417831.8,409243.2,362747.7,319166.6,337606.2,323286.6,339815.2,334118.1,318035.0,327258.8
"스페인",-,-,287710.3,295442.8,304833.8,294733.4,310885.5,327011.1,318543.3,332619.7,342183.0,368362.6,383276.4,382042.8,400722.5,407928.8,423589.7,438759.6,432096.7,442831.8,409174.5,369811.1,354652.3,354632.2,347509.3,320452.3,321937.4,333623.4,321649.7,334703.5,328905.1,309814.2,272244.4,288847.8
"네덜란드",-,-,221781.0,229712.0,230151.1,230464.3,231199.9,231305.6,241662.1,233328.5,233540.2,221071.1,219454.9,220583.2,218256.5,218993.8,220479.0,214667.0,209523.8,208077.9,207941.4,202300.7,214236.6,199922.9,195581.8,195278.0,187053.6,194015.9,194644.5,191991.2,186759.6,180936.9,164367.8,167153.3
"체코",-,-,198775.3,180859.7,175034.9,168323.7,159410.6,158372.0,161709.7,157200.4,151034.6,141062.0,151139.2,150760.2,146965.8,150152.9,151010.0,148935.0,150166.8,151829.9,146768.6,137280.3,140167.6,138568.0,134610.2,129251.7,127080.0,128506.5,130107.0,130951.9,129180.1,123451.3,113072.1,118381.7
