"국가",2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"멕시코",393369.062,47907.368,112430.441,30292.267,-,412265.593,46642.954,115970.221,31543.173,-,408454.918,48637.042,117016.682,32756.43,-,417404.116,58103.581,118010.357,33298.92,-,433418.814,51969.302,116683.635,34854.408,-,443865.101,55630.062,117124.172,36656.119,-,471095.943,57941.957,119802.731,38585.313,-,512522.899,60457.813,122692.562,40579.299,-,495991.98,56959.482,126136.43,42617.122,-,480763.491,64301.62,130221.356,44410.831,-
"미국",6139423.2,345855.09,573120.99,195123.03,-,6168105.89,353973.57,577240.26,193958.02,-,6236882.19,342072.66,576707.5,197040.01,-,6335101.38,355236.52,579374.34,194652.68,-,6351529.16,356056.54,577719.13,192053.53,-,6277856.55,365336.35,574740.6,189988,-,6347933.34,381744.72,594020.13,187749.77,-,6162944.91,360170.19,586175.65,185250.96,-,5759993.15,312922.59,585703.91,182121.88,-,5932070.82,352006.12,590985.63,183135.34,-
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아르헨티나",131392.03,10817.2,112038.56,11379.21,-,124052.66,10677.43,108704.68,11608.56,-,133271.3,12482.11,112698.91,12011.6,-,144978.48,13840.55,108375.17,12369.58,-,149113.29,15108.15,109396.39,12838.82,-,157208.9,15675.07,110877.34,13218.72,-,171562.15,16298.97,110643.44,13231.9,-,176884.08,16237.01,107818.71,12981.31,-,164546.33,14251.01,102216.84,12725.34,-,178633.87,16519.25,97911.34,12939.98,-
"브라질",293404.5,70270.45,339602.1,40807.1,-,291813,74503.3,352044.8,42602,-,286410.6,75137.31,372840.6,44397.2,-,302319.9,80350.71,387881.4,45335.2,-,312622.8,78249.07,392492.4,46812.6,-,317201,79533.98,392392.3,48228.1,-,330776.1,79425.61,383932.4,49484.5,-,350257.9,82151.08,389962,50221.8,-,338925.2,72694.17,396189.9,50776.2,-,370983.1,89945.9,407072.4,53053.7,-
"칠레",49910.292,3224.914,13640.577,3181.546,-,50503.927,3205.875,13769.329,3672.065,-,51353.395,3602.737,13491.613,3736.781,-,56037.177,3937.504,13897.811,3859.383,-,56662.463,4292.339,13737.356,4071.438,-,57637.728,4613.904,13879.274,4548.134,-,66736.364,4715.138,14005.247,4538.997,-,68259.576,3880.617,13750.358,4270.781,-,65867.553,3763.286,13340.671,3960.452,-,65751.018,3765.099,13090.53,4363.005,-
"콜롬비아",59431.41,5200.8,43930.51,11204.04,-,58356.61,5578.14,44427.71,11728.8,-,60025.4,6074.34,46609.15,11956.67,-,61153.72,6263.93,47635.09,12499.12,-,64136.23,7453.99,47500.16,13378.96,-,67511.33,7727.55,47679.68,13812.84,-,67449.4,8363.88,48821.32,14403,-,69567.69,7883.41,47623.98,15047.96,-,74469.09,7342.59,48435.68,15425.54,-,81270.43,7584.77,49726.44,16478.79,-
"코스타리카",5285.852,622.687,2864.949,1518.516,-,5403.044,641.805,2908.241,1565.419,-,5731.92,626.476,2906.268,1628.306,-,5749.297,600.005,2913.558,1661.303,-,5946.968,645.697,2882.039,1721.309,-,6437.174,772.031,2838.24,1770.112,-,7116.553,836.14,2896.526,1829.477,-,7107.71,856.018,2875.05,1870.605,-,6777.616,885.152,2971.236,1900.564,-,7037.879,869.641,3057.7,1930.739,-
"페루",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36353,3448,25979,7768,-,37191,3621,26243,7896,-,39811,3737,26561,8051,-,42431,3921,26879,8093,-,45051,4108,27197,8109,-,47672,4298,27515,8203,-,50292,4505,27833,8322,-
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
